id,product_name,category,price_clp,rating,store_name,sku
1,Apple Pro 48,smartwatch,142000,3.2,Paris.cl,APPSM00001
2,Aspire 5,laptop,2016000,3.2,ABCDigital,ACELA00002
3,Galaxy Book3,laptop,1689000,4.3,OutletCL,SAMLA00003
4,Smart TV,tv,1014000,4.0,Paris,SHATV00004
5,MacBook Air M2,laptop,997000,4.6,Hites,APPLA00005
6,OnePlus Nord 3,celular,176000,4.9,OutletCL,ONECE00006
7,Apple Watch 85,smartwatch,126000,4.4,Paris,APPSM00007
8,LG Plus 14,electrohogar,411000,4.3,PC Factory,LGEL00008
9,Apple Pad 16,tablet,603000,3.0,SóloParaTi,APPTA00009
10,ExpertBook,laptop,2019000,3.8,Paris,ASULA00010
11,Poco X6,celular,140000,2.9,PC Factory,XIACE00011
12,Alcatel 10 21,tablet,485000,3.3,Falabella,ALCTA00012
13,OnePlus 12,celular,934000,5.0,Paris,ONECE00013
14,Realme Narzo 60,celular,1195000,4.4,MercadoLibre Chile,REACE00014
15,Galaxy F54,celular,803000,4.4,Paris.cl,SAMCE00015
16,Stockwell II,audio,381000,2.8,Paris,MARAU00016
17,UHD 4K,tv,854000,3.1,Paris,AOCTV00017
18,ZenBook 14,laptop,2453000,2.7,OutletCL,ASULA00018
19,Redmi Note 13,celular,1160000,4.7,TiendaElectro,XIACE00019
20,C835,tv,289000,4.5,MercadoLibre Chile,TCLTV00020
21,Garmin Active 24,smartwatch,54000,3.4,Paris,GARSM00021
22,Garmin Active 74,smartwatch,396000,4.6,PC Factory,GARSM00022
23,Suunto Lite 42,smartwatch,103000,2.7,MercadoLibre Chile,SUUSM00023
24,Fly TWS,audio,121000,4.4,SóloParaTi,HARAU00024
25,Stockwell II,audio,168000,2.8,SóloParaTi,MARAU00025
26,A78,celular,212000,3.4,SóloParaTi,OPPCE00026
27,NanoCell 75,tv,928000,4.7,ABCDigital,LGTV00027
28,A78,celular,893000,3.5,MercadoLibre Chile,OPPCE00028
29,Whirlpool Plus 62,electrohogar,136000,3.2,Falabella,WHIEL00029
30,Major IV,audio,16000,4.2,ABCDigital,MARAU00030
31,Crystal UHD,tv,1413000,4.7,Paris.cl,SAMTV00031
32,Sony Lumix 45,camara,537000,4.8,OutletCL,SONCA00032
33,Microsoft Tab 79,tablet,395000,3.4,Falabella,MICTA00033
34,Fitbit Active 11,smartwatch,115000,4.5,PC Factory,FITSM00034
35,Microsoft Pad 2,tablet,237000,2.8,SóloParaTi,MICTA00035
36,Realme GT 3,celular,790000,4.7,PC Factory,REACE00036
37,UHD 4K,tv,1363000,3.0,TiendaElectro,AOCTV00037
38,Lenovo 10 5,tablet,176000,2.7,PC Factory,LENTA00038
39,Suunto Watch 67,smartwatch,119000,4.0,Hites,SUUSM00039
40,Surface Pro 9,laptop,2044000,2.6,ABCDigital,MICLA00040
41,Pixel 7a,celular,156000,3.3,MercadoLibre Chile,GOOCE00041
42,Realme C55,celular,937000,4.5,Paris,REACE00042
43,Fossil 2024 8,smartwatch,339000,2.8,Ripley,FOSSM00043
44,C350,tv,220000,4.9,La Polar,TOSTV00044
45,Soundcore Space,audio,256000,3.7,Falabella,ANKAU00045
46,Fitbit Active 43,smartwatch,431000,4.5,Paris.cl,FITSM00046
47,Crusher Evo,audio,124000,3.9,SóloParaTi,SKUAU00047
48,Live Pro 2,audio,23000,4.1,Ripley,JBLAU00048
49,Aquos,tv,348000,3.2,PC Factory,SHATV00049
50,ATH-M50x,audio,276000,3.4,OutletCL,AUDAU00050
51,Olympus HERO 32,camara,1465000,3.6,SóloParaTi,OLYCA00051
52,Aquos,tv,1226000,4.8,ABCDigital,SHATV00052
53,Huawei 11 64,tablet,798000,2.7,MercadoLibre Chile,HUATA00053
54,U6H,tv,1082000,3.3,TiendaElectro,HISTV00054
55,Bravia A80,tv,1678000,4.0,Paris.cl,SONTV00055
56,KitchenAid Pro 81,electrohogar,42000,3.8,OutletCL,KITEL00056
57,Samsung Plus 43,electrohogar,453000,4.5,La Polar,SAMEL00057
58,Pixel 7a,celular,572000,4.8,La Polar,GOOCE00058
59,SoundLink Flex,audio,147000,4.8,Falabella,BOSAU00059
60,Mi 13 Lite,celular,400000,3.3,Paris,XIACE00060
61,Hamilton Beach Deluxe 4,electrohogar,471000,3.6,ABCDigital,HAMEL00061
62,Polar 2024 72,smartwatch,187000,3.8,SóloParaTi,POLSM00062
63,Gaming TV,tv,1162000,4.8,Paris,AOCTV00063
64,Apple Watch 94,smartwatch,103000,3.2,Hites,APPSM00064
65,Amazfit Lite 12,smartwatch,244000,4.2,Ripley,AMASM00065
66,Fitbit 2024 1,smartwatch,434000,3.6,ABCDigital,FITSM00066
67,Realme Narzo 60,celular,686000,4.8,Paris.cl,REACE00067
68,ROG Strix,laptop,1526000,3.6,Hites,ASULA00068
69,Onyx Studio 7,audio,29000,3.4,Paris.cl,HARAU00069
70,Sony HERO 99,camara,1704000,3.4,OutletCL,SONCA00070
71,Hamilton Beach Pro 64,electrohogar,977000,4.2,MercadoLibre Chile,HAMEL00071
72,Huawei 11 61,tablet,316000,4.0,Hites,HUATA00072
73,GoPro HERO 30,camara,1948000,3.5,Ripley,GOPCA00073
74,ThinkBook,laptop,394000,4.4,ABCDigital,LENLA00074
75,OLED 808,tv,927000,2.7,ABCDigital,PHITV00075
76,WH-1000XM5,audio,192000,3.2,PC Factory,SONAU00076
77,KitchenAid 2024 40,electrohogar,757000,3.3,Falabella,KITEL00077
78,Z870,tv,1073000,4.1,PC Factory,TOSTV00078
79,LG Pro 88,electrohogar,638000,4.2,SóloParaTi,LGEL00079
80,ThinkBook,laptop,1026000,4.3,PC Factory,LENLA00080
81,Oster Smart 11,electrohogar,326000,4.5,PC Factory,OSTEL00081
82,Redmi Note 13,celular,195000,2.9,Paris.cl,XIACE00082
83,Apple Active 20,smartwatch,393000,3.8,Paris,APPSM00083
84,Nikon Lumix 96,camara,257000,4.4,Falabella,NIKCA00084
85,U6H,tv,907000,3.4,PC Factory,HISTV00085
86,Mabe 2024 43,electrohogar,881000,2.7,Paris,MABEL00086
87,Ninja 2024 22,electrohogar,1199000,4.3,Paris.cl,NINEL00087
88,OnePlus 11,celular,657000,2.8,ABCDigital,ONECE00088
89,MateBook 14,laptop,1261000,4.8,La Polar,HUALA00089
90,Samsung 2024 73,electrohogar,803000,4.3,SóloParaTi,SAMEL00090
91,Studio Pro,audio,72000,4.1,Paris,BEAAU00091
92,Polaroid Alpha 10,camara,1489000,4.6,Ripley,POLCA00092
93,OLED 808,tv,1740000,4.3,MercadoLibre Chile,PHITV00093
94,PUS8506,tv,749000,2.8,SóloParaTi,PHITV00094
95,Flip 6,audio,239000,2.9,PC Factory,JBLAU00095
96,U8H,tv,1321000,4.9,OutletCL,HISTV00096
97,Mabe Deluxe 50,electrohogar,680000,2.5,OutletCL,MABEL00097
98,Polar Lite 63,smartwatch,95000,3.7,PC Factory,POLSM00098
99,Realme Narzo 60,celular,1184000,3.0,PC Factory,REACE00099
100,UK4,tv,588000,2.9,Paris,TOSTV00100
101,iPhone 15 Pro,celular,150000,4.8,Falabella,APPCE00101
102,LG 2024 39,electrohogar,57000,3.7,TiendaElectro,LGEL00102
103,Stockwell II,audio,64000,2.6,ABCDigital,MARAU00103
104,Samsung Pro 57,smartwatch,77000,2.7,Paris,SAMSM00104
105,Panasonic Coolpix 95,camara,1482000,2.9,SóloParaTi,PANCA00105
106,Fitbit Lite 19,smartwatch,267000,4.2,Hites,FITSM00106
107,Studio Pro,audio,257000,3.4,OutletCL,BEAAU00107
108,Panasonic EOS 78,camara,673000,2.7,PC Factory,PANCA00108
109,iPhone 14,celular,798000,5.0,MercadoLibre Chile,APPCE00109
110,MacBook Pro 16,laptop,1993000,2.6,Ripley,APPLA00110
111,Crosshair 17,laptop,657000,3.0,Paris.cl,MSILA00111
112,Moto G14,celular,1057000,3.6,Hites,MOTCE00112
113,Amazfit Pro 53,smartwatch,68000,3.0,OutletCL,AMASM00113
114,U8H,tv,174000,3.3,Falabella,HISTV00114
115,Polaroid EOS 98,camara,1186000,3.6,Paris,POLCA00115
116,iPhone 15 Pro,celular,444000,3.6,TiendaElectro,APPCE00116
